course_ID,instructor_ID
1001,2469
1002,821
1003,1326
1004,1368
1005,437
1006,252
1007,2395
1008,1633
1009,2289
1010,58
1011,1289
1012,596
1013,1716
1014,1257
1015,266
1016,1326
1017,1257
1080,136
1018,2469
1019,1213
1021,621
1022,1368
1023,1710
1024,1873
1025,689
1026,1656
1027,58
1028,1184
1029,1749
1030,529
1031,691
1032,606
1033,1963
1034,199
1035,380
1036,429
1037,1014
1038,1106
1039,1561
1040,146
1041,136
1042,199
1043,81
1044,1106
1045,882
1046,1847
1047,1685
1048,255
1049,1268
1050,1559
1051,2527
1052,1522
1053,150
1054,1934
1055,1159
1056,666
1057,1522
1058,1559
1059,2482
1060,1069
1077,10
1078,570
1079,507
1061,423
1062,666
1063,1628
1064,2566
1065,1628
1066,2233
1067,1342
1068,2233
1069,1069
1070,1342
1071,786
1072,2482
1073,1069
1076,1656
2001,391
2002,1223
2003,1292
2007,2559
2007,2559
2004,2288
2004,2288
2004,2288
2005,2504
2005,2504
2005,2504
2006,217
2008,1830
2008,1830
3011,335
3011,335
3011,335
3023,1379
3024,2087
3005,2109
3042,126
3042,126
3044,126
3044,126
3045,940
3045,940
3052,1158
3052,1158
3053,2087
3053,2087
3054,885
3054,885
3030,87
3030,87
3030,87
3031,107
3031,107
3031,107
3032,731
3032,731
3032,731
3033,885
3033,885
3033,885
3034,1088
3034,1088
3034,1088
3046,1665
3046,1665
3001,2411
3002,2411
3003,2387
3004,2387
3012,453
3012,453
3013,2624
3013,2624
3014,2557
3014,2557
3025,1812
3026,1037
3027,2514
3028,126
3029,849
3006,335
3007,1565
3008,453
3009,2475
3018,1831
3019,335
3020,1720
3043,2411
3043,2411
3021,441
3047,2411
3048,85
3049,1529
3049,1529
3055,1424
3055,1424
3056,2411
3056,2411
3057,2387
3057,2387
3035,85
3035,85
3035,85
3036,2387
3036,2387
3036,2387
3037,1529
3037,1529
3037,1529
3038,2478
3038,2478
3038,2478
3039,1831
3039,1831
3039,1831
3015,1263
3015,1263
3010,2535
3022,2514
3058,2535
3058,2535
3059,2336
3059,2336
3040,2336
3040,2336
3040,2336
95007,335
95007,335
3016,1123
3016,1123
3017,498
3017,498
3050,2538
3050,2538
3060,1123
3060,1123
3041,1585
3041,1585
3041,1585
23642,1460
56824,1460
17894,845
27871,845
78991,845
59601,845
20026,819
63953,819
59638,819
20279,819
20116,845
69151,819
61677,425
29137,845
63610,1460
73224,496
12613,496
81368,496
62013,496
16627,496
16200,2140
71234,2140
59174,2140
95019,2140
52040,1976
52040,1976
30303,1976
60578,2357
36190,2357
49610,1026
74088,2355
18740,2355
25556,2357
70902,2633
70902,2633
79846,1976
79358,1667
79358,1667
58134,1667
55696,656
55696,656
14162,910
74015,846
46625,846
35679,656
34938,1094
34938,1094
65242,2092
34514,409
27547,125
80120,2092
80120,2092
21762,409
32787,1094
69928,2452
84680,886
84680,886
84680,886
20752,102
38409,1212
38409,1212
38409,1212
32078,1038
32078,1038
16104,657
16104,657
57245,102
36554,1207
36554,1207
50436,1026
51915,1976
72430,2633
72430,2633
72359,1976
65869,261
54490,1520
77928,1322
24253,1322
85873,910
85873,910
56648,125
56648,125
73597,2496
66177,592
56010,22
56010,22
17321,409
52902,886
52902,886
68034,654
68034,654
78083,1038
78083,1038
45098,1930
71540,110
26732,608
27304,217
37802,938
73087,1394
80404,1394
58970,404
82843,110
16962,701
85681,608
72252,701
20776,154
21982,837
50175,404
54695,938
16913,1462
89504,154
15659,1244
71027,589
23584,2559
58914,1830
17789,1244
30478,1288
10202,154
60211,608
76953,2504
45034,1223
32337,2288
19609,1223
10247,154
59746,837
77971,1930
19766,154
54701,1930
45537,1462
31782,1930
41864,589
59332,1830
36332,1244
55465,1288
65907,938
51635,701
85228,154
78613,837
25410,701
32731,1491
31492,217
22886,1491
50718,837
22197,1244
75092,2504
43004,938
67416,110
36027,110
71727,1288
80947,1501
80947,1501
80947,1501
10650,2268
36032,2342
36032,2342
64241,91
32350,692
10800,400
30799,1497
46539,800
89720,2097
39872,2275
55906,16
77904,563
62531,2333
84752,1923
33053,2417
