,group_ID,group_name,group_status,capacity,creator_ID,course_ID
0,1,group1,In_progress,2,B11409011,1001
1,2,group2,In_progress,2,B10303142,1001
2,3,group3,In_progress,2,B09402022,1001
3,4,group1,In_progress,2,R10921231,1002
4,5,group1,In_progress,2,B08201025,1003
5,6,group2,In_progress,2,B10301165,1003
6,7,group1,In_progress,2,B10602160,1004
7,8,group2,In_progress,2,B07102115,1004
8,9,group3,In_progress,2,B11101043,1004
9,10,group1,In_progress,2,B11615014,1005
10,11,group2,In_progress,2,F08922024,1005
11,12,group3,In_progress,2,R10943028,1005
12,13,group1,In_progress,2,B09A07021,1006
13,14,group2,In_progress,2,R09621102,1006
14,15,group3,In_progress,2,B11402024,1006
15,16,group1,In_progress,2,B09302302,1007
16,17,group2,In_progress,2,B10601140,1007
17,18,group1,In_progress,2,B08A07033,1008
18,19,group1,In_progress,2,B10616020,1009
19,20,group2,In_progress,2,B11604035,1009
20,21,group1,In_progress,2,B11618015,1011
21,22,group2,In_progress,2,B08101152,1011
22,23,group1,In_progress,2,R10922021,1012
23,24,group2,In_progress,2,B10401011,1012
24,25,group3,In_progress,2,B09601039,1012
25,26,group1,In_progress,2,B11617020,1013
26,27,group2,In_progress,2,B10301026,1013
27,28,group1,In_progress,2,B11601075,1014
28,29,group2,In_progress,2,B11309007,1014
29,30,group1,In_progress,2,R10942151,1015
30,31,group2,In_progress,2,B09501066,1015
31,32,group1,In_progress,2,B11302056,1016
32,33,group2,In_progress,2,B11101082,1016
33,34,group3,In_progress,2,B09901150,1016
34,35,group1,In_progress,2,B11611019,1017
35,36,group1,In_progress,2,B10402011,1018
36,37,group1,In_progress,2,R10941150,1021
37,38,group2,In_progress,2,B09A02022,1021
38,39,group1,In_progress,2,B11102056,1022
39,40,group2,In_progress,2,B11613044,1022
40,41,group3,In_progress,2,R11523012,1022
41,42,group4,In_progress,2,F10942024,1022
42,43,group1,In_progress,2,B09608024,1023
43,44,group2,In_progress,2,B09403010,1023
44,45,group1,In_progress,2,B09603006,1024
45,46,group2,In_progress,2,B10601053,1024
46,47,group1,In_progress,2,R10541061,1025
47,48,group2,In_progress,2,B08501043,1025
48,49,group3,In_progress,2,B11205020,1025
49,50,group1,In_progress,2,R10941101,1026
50,51,group1,In_progress,2,B10A01043,1027
51,52,group1,In_progress,2,B09A01070,1028
52,53,group1,In_progress,2,B11H03018,1029
53,54,group2,In_progress,2,F10948032,1029
54,55,group1,In_progress,2,R11222001,1030
55,56,group2,In_progress,2,B08613065,1030
56,57,group3,In_progress,2,B09603032,1030
57,58,group1,In_progress,2,B08702010,1031
58,59,group1,In_progress,2,B10616020,1032
59,60,group2,In_progress,2,B11101003,1032
60,61,group1,In_progress,2,R10447044,1033
61,62,group2,In_progress,2,B09902070,1033
62,63,group1,In_progress,2,B06201101,1034
63,64,group2,In_progress,2,F09443036,1034
64,65,group1,In_progress,2,B11102129,1035
65,66,group2,In_progress,2,B11705034,1035
66,67,group3,In_progress,2,D01944026,1035
67,68,group1,In_progress,2,R11124015,1036
68,69,group2,In_progress,2,R08128053,1036
69,70,group3,In_progress,2,B09102036,1036
70,71,group1,In_progress,2,B10703015,1037
71,72,group2,In_progress,2,B10202056,1037
72,73,group1,In_progress,2,B10707020,1039
73,74,group1,In_progress,2,B11405026,1040
74,75,group1,In_progress,2,B08A06044,1041
75,76,group2,In_progress,2,B10701101,1041
76,77,group3,In_progress,2,D03947039,1041
77,78,group1,In_progress,2,B09703044,1042
78,79,group1,In_progress,2,B11614026,1043
79,80,group2,In_progress,2,R10B43076,1043
80,81,group3,In_progress,2,B10705028,1043
81,82,group1,In_progress,2,R10528023,1044
82,83,group1,In_progress,2,B09605004,1045
83,84,group1,In_progress,2,B09505004,1046
84,85,group1,In_progress,2,R10522025,1047
85,86,group2,In_progress,2,B11402151,1047
86,87,group3,In_progress,2,B09501026,1047
87,88,group1,In_progress,2,B09105020,1048
88,89,group2,In_progress,2,B10706005,1048
89,90,group3,In_progress,2,B11405035,1048
90,91,group4,In_progress,2,B07A06023,1048
91,92,group1,In_progress,2,B11311126,1049
92,93,group2,In_progress,2,B10702036,1049
93,94,group3,In_progress,2,B11602029,1049
94,95,group1,In_progress,2,B09502004,1050
95,96,group2,In_progress,2,B10703049,1050
96,97,group3,In_progress,2,B10903020,1050
97,98,group1,In_progress,2,B09403018,1051
98,99,group2,In_progress,2,B10101204,1051
99,100,group1,In_progress,2,B10B02056,1052
100,101,group1,In_progress,2,B11501066,1054
101,102,group2,In_progress,2,B09401091,1054
102,103,group3,In_progress,2,B08105022,1054
103,104,group4,In_progress,2,B08A08006,1054
104,105,group5,In_progress,2,B09503057,1054
105,106,group1,In_progress,2,R10521072,1055
106,107,group1,In_progress,2,B09901102,1057
107,108,group2,In_progress,2,B09902034,1057
108,109,group3,In_progress,2,B10701031,1057
